date,direction
2021-01-01,270
2021-01-02,320
2021-01-03,270
2021-01-04,50
2021-01-05,290
2021-01-06,290
2021-01-07,290
2021-01-08,290
2021-01-09,290
2021-01-10,50
2021-01-11,290
2021-01-12,50
2021-01-13,230
2021-01-14,70
2021-01-15,230
2021-01-16,250
2021-01-17,230
2021-01-18,290
2021-01-19,320
2021-01-20,50
2021-01-21,50
2021-01-22,70
2021-01-23,70
2021-01-24,70
2021-01-25,70
2021-01-26,270
2021-01-27,360
2021-01-28,250
2021-01-29,270
2021-01-30,290
2021-01-31,50
2021-02-01,270
2021-02-02,290
2021-02-03,230
2021-02-04,250
2021-02-05,200
2021-02-06,180
2021-02-07,250
2021-02-08,320
2021-02-09,250
2021-02-10,200
2021-02-11,90
2021-02-12,250
2021-02-13,290
2021-02-14,250
2021-02-15,250
2021-02-16,290
2021-02-17,270
2021-02-18,290
2021-02-19,230
2021-02-20,200
2021-02-21,200
2021-02-22,290
2021-02-23,290
2021-02-24,290
2021-02-25,50
2021-02-26,70
2021-02-27,50
2021-02-28,70
2021-03-01,50
2021-03-02,340
2021-03-03,200
2021-03-04,50
2021-03-05,250
2021-03-06,50
2021-03-07,50
2021-03-08,250
2021-03-09,250
2021-03-10,270
2021-03-11,250
2021-03-12,70
2021-03-13,270
2021-03-14,250
2021-03-15,230
2021-03-16,270
2021-03-17,250
2021-03-18,250
2021-03-19,290
2021-03-20,140
2021-03-21,270
2021-03-22,230
2021-03-23,200
2021-03-24,290
2021-03-25,270
2021-03-26,250
2021-03-27,50
2021-03-28,200
2021-03-29,270
2021-03-30,250
2021-03-31,290
2021-04-01,50
2021-04-02,50
2021-04-03,50
2021-04-04,50
2021-04-05,270
2021-04-06,250
2021-04-07,270
2021-04-08,290
2021-04-09,50
2021-04-10,270
2021-04-11,250
2021-04-12,140
2021-04-13,250
2021-04-14,270
2021-04-15,270
2021-04-16,200
2021-04-17,290
2021-04-18,250
2021-04-19,200
2021-04-20,270
2021-04-21,250
2021-04-22,50
2021-04-23,50
2021-04-24,340
2021-04-25,50
2021-04-26,290
2021-04-27,230
2021-04-28,230
2021-04-29,200
2021-04-30,200
2021-05-01,320
2021-05-02,270
2021-05-03,200
2021-05-04,290
2021-05-05,250
2021-05-06,230
2021-05-07,230
2021-05-08,200
2021-05-09,270
2021-05-10,200
2021-05-11,110
2021-05-12,50
2021-05-13,250
2021-05-14,250
2021-05-15,110
2021-05-16,180
2021-05-17,50
2021-05-18,270
2021-05-19,250
2021-05-20,90
2021-05-21,50
2021-05-22,270
2021-05-23,270
2021-05-24,270
2021-05-25,250
2021-05-26,200
2021-05-27,230
2021-05-28,230
2021-05-29,250
2021-05-30,270
2021-05-31,50
2021-06-01,320
2021-06-02,290
2021-06-03,320
2021-06-04,200
2021-06-05,180
2021-06-06,200
2021-06-07,140
2021-06-08,250
2021-06-09,50
2021-06-10,200
2021-06-11,180
2021-06-12,320
2021-06-13,250
2021-06-14,250
2021-06-15,50
2021-06-16,50
2021-06-17,50
2021-06-18,200
2021-06-19,270
2021-06-20,230
2021-06-21,270
2021-06-22,200
2021-06-23,50
2021-06-24,270
2021-06-25,290
2021-06-26,360
2021-06-27,200
2021-06-28,50
2021-06-29,200
2021-06-30,50
2021-07-01,320
2021-07-02,50
2021-07-03,50
2021-07-04,200
2021-07-05,200
2021-07-06,250
2021-07-07,140
2021-07-08,250
2021-07-09,230
2021-07-10,230
2021-07-11,230
2021-07-12,160
2021-07-13,290
2021-07-14,160
2021-07-15,250
2021-07-16,50
2021-07-17,160
2021-07-18,160
2021-07-19,340
2021-07-20,250
2021-07-21,140
2021-07-22,50
2021-07-23,160
2021-07-24,160
2021-07-25,160
2021-07-26,160
2021-07-27,250
2021-07-28,250
2021-07-29,270
2021-07-30,140
2021-07-31,270
2021-08-01,160
2021-08-02,200
2021-08-03,160
2021-08-04,180
2021-08-05,290
2021-08-06,320
2021-08-07,340
2021-08-08,50
2021-08-09,340
2021-08-10,200
2021-08-11,320
2021-08-12,110
2021-08-13,50
2021-08-14,50
2021-08-15,50
2021-08-16,160
2021-08-17,70
2021-08-18,50
2021-08-19,50
2021-08-20,140
2021-08-21,290
2021-08-22,230
2021-08-23,90
2021-08-24,200
2021-08-25,160
2021-08-26,180
2021-08-27,250
2021-08-28,270
2021-08-29,320
2021-08-30,250
2021-08-31,70
2021-09-01,50
2021-09-02,70
2021-09-03,50
2021-09-04,70
2021-09-05,50
2021-09-06,70
2021-09-07,50
2021-09-08,270
2021-09-09,20
2021-09-10,290
2021-09-11,320
2021-09-12,320
2021-09-13,50
2021-09-14,50
2021-09-15,50
2021-09-16,50
2021-09-17,70
2021-09-18,290
2021-09-19,160
2021-09-20,140
2021-09-21,320
2021-09-22,270
2021-09-23,320
2021-09-24,50
2021-09-25,50
2021-09-26,50
2021-09-27,140
2021-09-28,140
2021-09-29,230
2021-09-30,270
2021-10-01,290
2021-10-02,250
2021-10-03,180
2021-10-04,200
2021-10-05,180
2021-10-06,50
2021-10-07,250
2021-10-08,50
2021-10-09,50
2021-10-10,250
2021-10-11,320
2021-10-12,70
2021-10-13,70
2021-10-14,270
2021-10-15,320
2021-10-16,290
2021-10-17,320
2021-10-18,200
2021-10-19,270
2021-10-20,250
2021-10-21,320
2021-10-22,320
2021-10-23,200
2021-10-24,290
2021-10-25,290
2021-10-26,180
2021-10-27,270
2021-10-28,290
2021-10-29,90
2021-10-30,50
2021-10-31,320
2021-11-01,250
2021-11-02,250
2021-11-03,250
2021-11-04,200
2021-11-05,50
2021-11-06,50
2021-11-07,160
2021-11-08,270
2021-11-09,270
2021-11-10,270
2021-11-11,290
2021-11-12,290
2021-11-13,200
2021-11-14,200
2021-11-15,270
2021-11-16,290
2021-11-17,270
2021-11-18,230
2021-11-19,200
2021-11-20,180
2021-11-21,270
2021-11-22,270
2021-11-23,250
2021-11-24,250
2021-11-25,290
2021-11-26,290
2021-11-27,340
2021-11-28,50
2021-11-29,70
2021-11-30,250
2021-12-01,290
2021-12-02,200
2021-12-03,290
2021-12-04,320
2021-12-05,70
2021-12-06,320
2021-12-07,200
2021-12-08,50
2021-12-09,70
2021-12-10,70
2021-12-11,290
2021-12-12,290
2021-12-13,320
2021-12-14,180
2021-12-15,270
2021-12-16,270
2021-12-17,290
2021-12-18,270
2021-12-19,290
2021-12-20,200
2021-12-21,290
2021-12-22,290
2021-12-23,290
2021-12-24,290
2021-12-25,290
2021-12-26,290
2021-12-27,20
2021-12-28,50
2021-12-29,270
2021-12-30,290
2021-12-31,270
2022-01-01,20
2022-01-02,290
2022-01-03,250
2022-01-04,250
2022-01-05,50
2022-01-06,290
2022-01-07,250
2022-01-08,200
2022-01-09,270
2022-01-10,250
2022-01-11,290
2022-01-12,290
2022-01-13,270
2022-01-14,180
2022-01-15,50
2022-01-16,250
2022-01-17,270
2022-01-18,290
2022-01-19,320
2022-01-20,320
2022-01-21,50
2022-01-22,290
2022-01-23,250
2022-01-24,70
2022-01-25,270
2022-01-26,320
2022-01-27,290
2022-01-28,290
2022-01-29,320
2022-01-30,270
2022-01-31,250
2022-02-01,270
2022-02-02,250
2022-02-03,270
2022-02-04,290
2022-02-05,270
2022-02-06,290
2022-02-07,290
