CountryName,CountryCode,Date,Cases,Difference,people_vaccinated
United States,USA,2020.12.20,17954675,187819,556208
United States,USA,2020.12.21,18153724,199049,614117
United States,USA,2020.12.22,18351735,198011,614117
United States,USA,2020.12.23,18581353,229618,1008025
United States,USA,2020.12.24,18775557,194204,1008025
United States,USA,2020.12.25,18873203,97646,1008025
United States,USA,2020.12.26,19099491,226288,1944585
United States,USA,2020.12.27,19255126,155635,1944585
United States,USA,2020.12.28,19429760,174634,2127143
United States,USA,2020.12.29,19630012,200252,2127143
United States,USA,2020.12.30,19863696,233684,2794588
United States,USA,2020.12.31,20099363,235667,2794588
United States,USA,2021.1.1,20252991,153628,2794588
United States,USA,2021.1.2,20553301,300310,4225756
United States,USA,2021.1.3,20762047,208746,4225756
United States,USA,2021.1.4,20946329,184282,4563260
United States,USA,2021.1.5,21181440,235111,4836469
United States,USA,2021.1.6,21436884,255444,5306797
United States,USA,2021.1.7,21715174,278290,5919418
United States,USA,2021.1.8,22010389,295215,6688231
United States,USA,2021.1.9,22271084,260695,6688231
United States,USA,2021.1.10,22484332,213248,6688231
United States,USA,2021.1.11,22699326,214994,8987322
United States,USA,2021.1.12,22926246,226920,9327138
United States,USA,2021.1.13,23156608,230362,9327138
United States,USA,2021.1.14,23392315,235707,9690757
United States,USA,2021.1.15,23635046,242731,10595866
United States,USA,2021.1.16,23836726,201680,10595866
United States,USA,2021.1.17,24014508,177782,10595866
United States,USA,2021.1.18,24157924,143416,10595866
United States,USA,2021.1.19,24334630,176706,13595803
United States,USA,2021.1.20,24517866,183236,14270441
United States,USA,2021.1.21,24711684,193818,15053257
United States,USA,2021.1.22,24902437,190753,16243093
United States,USA,2021.1.23,25073050,170613,17390345
United States,USA,2021.1.24,25204112,131062,18502131
United States,USA,2021.1.25,25356081,151969,19252279
United States,USA,2021.1.26,25503621,147540,19902237
United States,USA,2021.1.27,25657566,153945,20687970
United States,USA,2021.1.28,25826176,168610,21698606
United States,USA,2021.1.29,25992744,166568,22858318
United States,USA,2021.1.30,26135056,142312,24064165
United States,USA,2021.1.31,26247053,111997,25201143
United States,USA,2021.2.1,26382255,135202,26023153
United States,USA,2021.2.2,26497588,115333,26440836
United States,USA,2021.2.3,26619229,121641,27154956
United States,USA,2021.2.4,26743204,123975,27905197
United States,USA,2021.2.5,26877601,134397,28909497
United States,USA,2021.2.6,26981588,103987,30250964
United States,USA,2021.2.7,27071236,89648,31579100
United States,USA,2021.2.8,27161551,90315,32340146
United States,USA,2021.2.9,27257183,95632,32867213
United States,USA,2021.2.10,27352360,95177,33783384
United States,USA,2021.2.11,27458120,105760,34723964
United States,USA,2021.2.12,27557758,99638,35834855
