"Date","CCLI","CCCI"
"2003.01",100.2,101.2
"2003.02",99.9,100.7
"2003.03",99.7,100.4
"2003.04",99.3,99.8
"2003.05",99,99.7
"2003.06",99.4,99.7
"2003.07",99.3,99.6
"2003.08",99.8,99.7
"2003.09",99.9,99.7
"2003.10",100.4,100.1
"2003.11",100.3,100.2
"2003.12",100.3,100.5
"2004.01",100.6,100.8
"2004.02",100.8,101.4
"2004.03",100.9,101.5
"2004.04",100.9,101.5
"2004.05",100.5,101.1
"2004.06",100.2,100.9
"2004.07",99.8,100.5
"2004.08",99.4,100
"2004.09",99.3,99.8
"2004.10",99.3,99.6
"2004.11",99.2,99.5
"2004.12",99,99.1
"2005.01",98.8,99
"2005.02",99.1,98.7
"2005.03",99.6,98.8
"2005.04",99.6,98.6
"2005.05",99.3,98.7
"2005.06",98.8,98.6
"2005.07",99.1,98.7
"2005.08",99.5,98.7
"2005.09",99.7,98.7
"2005.10",99.8,98.7
"2005.11",100.1,99.1
"2005.12",100.4,99.4
"2006.01",100.9,99.8
"2006.02",101,99.7
"2006.03",101,99.9
"2006.04",100.7,99.9
"2006.05",100.8,100.1
"2006.06",100.4,100
"2006.07",99.9,99.3
"2006.08",99.6,99.3
"2006.09",100.1,99.5
"2006.10",100.6,100.5
"2006.11",100.9,100.8
"2006.12",100.7,101
"2007.01",100.7,100.8
"2007.02",100.8,101
"2007.03",100.8,101.2
"2007.04",100.9,101.4
"2007.05",100.9,101.4
"2007.06",101.2,101.5
"2007.07",101.7,101.5
"2007.08",101.8,101.6
"2007.09",101.8,101.5
"2007.10",101.6,101.6
"2007.11",101.7,101.7
"2007.12",101.5,102.1
"2008.01",101.1,102.4
"2008.02",100.5,102.3
"2008.03",100,102.3
"2008.04",99.8,102
"2008.05",99.5,101.7
"2008.06",99,101.2
"2008.07",98.6,100.9
"2008.08",98.5,100.8
"2008.09",98.3,100.7
"2008.10",97.9,100.4
"2008.11",97.4,99.6
"2008.12",97,98.4
"2009.01",96.7,97.7
"2009.02",97.2,97.6
"2009.03",97.7,97.6
"2009.04",98.9,97.8
"2009.05",99.5,97.8
"2009.06",100.4,98.4
"2009.07",100.6,98.6
"2009.08",100.8,98.7
"2009.09",101.1,98.8
"2009.10",101.7,99
"2009.11",102.3,99.1
"2009.12",102.6,99
"2010.01",102.7,99.3
"2010.02",102.5,99.7
"2010.03",102.3,100.1
"2010.04",102.1,100.5
"2010.05",102.1,100.9
"2010.06",102.1,101
"2010.07",102,101.2
"2010.08",101.8,100.9
"2010.09",101.6,100.4
"2010.10",101.1,99.9
"2010.11",100.9,99.8
"2010.12",100.7,100
"2011.01",101.1,100.9
"2011.02",101.2,100.7
"2011.03",101.2,100.8
"2011.04",100.9,100.4
"2011.05",100.7,100.8
"2011.06",100.6,101.1
"2011.07",100.5,101.2
"2011.08",100.3,101.3
"2011.09",100.1,100.9
"2011.10",99.9,101
"2011.11",99.7,100.6
"2011.12",99.6,100.5
"2012.01",99.6,100.2
"2012.02",100,100.6
"2012.03",100.3,100.5
"2012.04",100.5,100.4
"2012.05",100.2,100.5
"2012.06",100.1,100.5
"2012.07",99.9,100.7
"2012.08",99.6,100.1
"2012.09",99.3,100.1
"2012.10",99.3,99.7
"2012.11",99.3,100
"2012.12",99.4,100.1
"2013.01",99.3,100
"2013.02",99.4,100
"2013.03",99.4,99.7
"2013.04",99.4,99.8
"2013.05",99.4,99.8
"2013.06",99.6,100.1
"2013.07",99.8,100
"2013.08",99.9,100.1
"2013.09",99.8,99.9
"2013.10",99.9,100.1
"2013.11",99.9,100.1
"2013.12",100,100.2
"2014.01",99.9,100.4
"2014.02",99.9,100.4
"2014.03",99.8,100.5
"2014.04",99.7,100.3
"2014.05",99.5,100.1
"2014.06",99.4,100.1
"2014.07",99.3,100.1
"2014.08",99.4,100.2
"2014.09",99.6,99.9
"2014.10",99.6,99.5
"2014.11",99.7,99.4
"2014.12",99.7,99.7
"2015.01",99.9,99.7
"2015.02",100.1,100.1
"2015.03",100.3,99.9
"2015.04",100.4,99.9
"2015.05",100.6,99.4
"2015.06",100.4,99.4
"2015.07",100.4,99.4
"2015.08",100.3,99.9
"2015.09",100.5,100.5
"2015.10",100.5,100.9
"2015.11",100.4,100.7
"2015.12",100,100.6
"2016.01",99.7,100.2
"2016.02",99.4,100.1
"2016.03",99.3,100
"2016.04",99.3,100
"2016.05",99.3,100.3
"2016.06",99.2,100.6
"2016.07",99.4,100.9
"2016.08",99.5,101
"2016.09",99.7,100.8
"2016.10",99.8,100.6
"2016.11",99.9,100.9
"2016.12",100.1,101.1
"2017.01",100.3,101.6
"2017.02",100.5,101.6
"2017.03",100.6,101.9
"2017.04",100.7,101.9
"2017.05",100.7,102.1
"2017.06",100.9,102.1
"2017.07",100.9,102.1
"2017.08",101.1,102.1
"2017.09",101,102.3
"2017.10",101,102.1
"2017.11",100.9,102.1
"2017.12",100.8,101.7
"2018.01",100.8,101.7
"2018.02",100.8,101.9
"2018.03",100.8,101.9
"2018.04",100.4,101.9
"2018.05",100.4,101.8
"2018.06",100.3,101.8
"2018.07",100.2,101.6
"2018.08",99.9,101.5
"2018.09",99.7,101.1
"2018.10",99.4,100.9
"2018.11",99.2,100.7
"2018.12",98.9,100.5
"2019.01",98.8,100.7
"2019.02",98.7,100.1
"2019.03",98.8,100.1
"2019.04",98.8,99.9
"2019.05",98.6,100.2
"2019.06",98.3,100.2
"2019.07",98.1,100.2
"2019.08",98,100.4
"2019.09",98.1,100.4
"2019.10",98.4,100.4
"2019.11",98.7,100.2
"2019.12",99,100.5
"2020.01",99,100.8
"2020.02",99,100.1
"2020.03",98.5,99
"2020.04",98.2,97.8
"2020.05",97.9,97
"2020.06",98.2,97.2
"2020.07",98.5,97.4
"2020.08",98.9,98
"2020.09",99.2,98.3
"2020.10",99.5,98.9
"2020.11",100,99.4
"2020.12",100.2,99.4
"2021.01",100.5,99.2
"2021.02",100.7,99.2
"2021.03",100.9,99.7
"2021.04",101.3,100.4
"2021.05",101.6,100.5
"2021.06",101.8,100.6
"2021.07",101.6,100.7
"2021.08",101.4,100.9
"2021.09",101.1,100.8
"2021.10",100.7,100.9
"2021.11",100.4,101.1
"2021.12",100.2,101.8
"2022.01",100.1,102.4
"2022.02",99.8,102.6
"2022.03",99.5,102.4
