"","date","hits_금리","hits_주식","hits_물가","hits_불황","hits_대출","hits_자살","hits_부동산","hits_집값","hits_경제성장","hits_인플레이션","hits_수출","hits_수입","hits_이자","hits_취업","hits_경기침체","hits_노동자","hits_실업","hits_금융","hits_보험","hits_환율","hits_금값"
"1",2004-03-01,27,11,12,0,42,8,66,0,23,0,36,67,29,70,0,25,79,100,64,32,6
"2",2004-04-01,43,10,56,0,37,8,76,0,92,33,100,68,31,77,0,41,100,73,64,27,0
"3",2004-05-01,25,10,47,38,38,6,79,12,46,28,64,53,32,77,0,51,58,86,63,27,4
"4",2004-06-01,25,13,23,38,30,6,75,0,46,28,68,60,39,74,0,17,74,65,55,34,11
"5",2004-07-01,35,8,84,82,32,6,72,0,0,0,64,73,55,76,0,18,68,72,64,32,0
"6",2004-08-01,34,5,66,80,43,4,78,25,16,29,42,38,20,99,70,54,50,58,58,49,4
"7",2004-09-01,31,7,59,41,50,2,60,13,33,91,52,69,42,100,0,56,80,68,57,33,8
"8",2004-10-01,23,8,67,81,32,2,76,13,66,60,68,58,27,69,0,18,51,85,51,23,4
"9",2004-11-01,31,9,100,81,25,3,58,0,33,0,60,53,21,84,0,45,34,45,57,52,4
"10",2004-12-01,25,9,79,38,24,5,54,24,0,0,52,50,32,85,100,26,85,61,72,39,0
"11",2005-01-01,18,10,39,0,38,3,74,0,15,0,52,45,45,69,0,17,42,72,69,30,4
"12",2005-02-01,22,8,57,46,38,8,94,0,0,0,10,69,55,67,0,41,64,42,58,38,0
"13",2005-03-01,52,14,74,0,45,8,74,21,53,24,55,48,17,67,0,37,45,77,65,38,0
"14",2005-04-01,27,9,75,0,29,7,73,23,29,53,58,70,49,83,0,57,45,79,49,41,0
"15",2005-05-01,30,9,45,0,40,4,77,20,13,23,66,54,32,65,0,85,39,71,57,32,0
"16",2005-06-01,31,12,54,66,33,4,65,10,0,0,73,55,45,61,0,44,50,69,56,35,3
"17",2005-07-01,29,12,79,35,25,6,77,0,0,51,37,51,47,27,0,23,48,76,64,40,0
"18",2005-08-01,32,10,28,34,71,4,82,11,28,0,58,49,17,48,30,54,29,72,63,36,7
"19",2005-09-01,20,12,32,31,28,5,78,59,38,0,36,39,31,77,0,42,34,68,60,22,0
"20",2005-10-01,25,9,43,0,25,6,61,9,72,22,88,60,10,71,0,100,45,96,53,25,0
"21",2005-11-01,21,15,28,55,45,8,76,9,100,40,46,56,42,76,0,31,49,70,61,21,3
"22",2005-12-01,20,13,39,82,36,4,65,9,22,40,57,50,50,57,0,67,34,60,100,26,8
"23",2006-01-01,16,14,46,56,59,4,81,9,23,20,50,56,14,82,0,44,42,78,64,26,5
"24",2006-02-01,40,17,41,0,45,6,80,9,34,42,75,56,43,72,0,13,51,77,49,34,0
"25",2006-03-01,37,11,35,0,33,4,74,16,10,18,57,58,37,51,0,50,41,62,58,34,5
"26",2006-04-01,32,14,45,0,23,4,83,30,29,0,38,55,33,62,0,59,33,65,41,26,2
"27",2006-05-01,38,10,60,0,35,4,77,35,36,66,49,74,34,69,0,65,49,56,53,29,0
"28",2006-06-01,39,13,66,0,33,3,56,0,28,50,39,48,39,55,0,56,54,74,48,28,2
"29",2006-07-01,29,11,36,22,35,1,53,35,27,32,46,55,56,56,0,34,42,60,51,25,0
