,CCCI,forecast2
2004-03-01,101.5,100.625465
2004-04-01,101.5,101.35994
2004-05-01,101.1,101.29964
2004-06-01,100.9,100.99829
2004-07-01,100.5,100.684135
2004-08-01,100.0,100.1516
2004-09-01,99.8,99.66102
2004-10-01,99.6,99.39578
2004-11-01,99.5,99.50846
2004-12-01,99.1,99.372665
2005-01-01,99.0,99.091675
2005-02-01,98.7,99.0268
2005-03-01,98.8,98.990234
2005-04-01,98.6,98.57693
2005-05-01,98.7,98.64526
2005-06-01,98.6,98.644226
2005-07-01,98.7,98.56992
2005-08-01,98.7,98.62974
2005-09-01,98.7,98.61805
2005-10-01,98.7,98.87866
2005-11-01,99.1,98.96137
2005-12-01,99.4,99.20522
2006-01-01,99.8,99.47954
2006-02-01,99.7,99.932884
2006-03-01,99.9,99.91293
2006-04-01,99.9,99.89177
2006-05-01,100.1,99.932045
2006-06-01,100.0,99.99824
2006-07-01,99.3,99.81509
2006-08-01,99.3,99.64367
2006-09-01,99.5,99.509834
2006-10-01,100.5,99.819046
2006-11-01,100.8,100.6496
2006-12-01,101.0,100.9497
2007-01-01,100.8,101.07265
2007-02-01,101.0,101.071106
2007-03-01,101.2,101.14502
2007-04-01,101.4,101.22976
2007-05-01,101.4,101.30503
2007-06-01,101.5,101.34441
2007-07-01,101.5,101.4285
2007-08-01,101.6,101.57769
2007-09-01,101.5,101.71312
2007-10-01,101.6,101.82107
2007-11-01,101.7,101.88718
2007-12-01,102.1,101.957466
2008-01-01,102.4,102.191826
2008-02-01,102.3,102.32885
2008-03-01,102.3,102.16721
2008-04-01,102.0,101.9262
2008-05-01,101.7,101.6599
2008-06-01,101.2,101.3204
2008-07-01,100.9,100.96532
2008-08-01,100.8,100.70446
2008-09-01,100.7,100.4238
2008-10-01,100.4,100.31973
2008-11-01,99.6,99.68291
2008-12-01,98.4,98.41901
2009-01-01,97.7,97.73781
2009-02-01,97.6,97.61673
2009-03-01,97.6,97.66982
2009-04-01,97.8,97.731415
2009-05-01,97.8,97.85114
2009-06-01,98.4,98.26894
2009-07-01,98.6,98.67817
2009-08-01,98.7,98.86122
2009-09-01,98.8,98.883385
2009-10-01,99.0,98.94031
2009-11-01,99.1,99.01315
2009-12-01,99.0,99.23727
2010-01-01,99.3,99.25196
2010-02-01,99.7,99.62769
2010-03-01,100.1,100.11205
2010-04-01,100.5,100.56595
2010-05-01,100.9,100.80439
2010-06-01,101.0,101.02648
2010-07-01,101.2,101.075294
2010-08-01,100.9,100.76471
2010-09-01,100.4,100.34147
2010-10-01,99.9,100.00599
2010-11-01,99.8,99.90059
2010-12-01,100.0,100.190636
2011-01-01,100.9,100.40126
2011-02-01,100.7,100.700294
2011-03-01,100.8,100.73257
2011-04-01,100.4,100.7853
2011-05-01,100.8,100.730125
2011-06-01,101.1,100.93978
2011-07-01,101.2,101.150246
2011-08-01,101.3,101.24498
2011-09-01,100.9,101.252594
2011-10-01,101.0,100.919785
2011-11-01,100.6,100.723854
2011-12-01,100.5,100.5102
2012-01-01,100.2,100.43582
2012-02-01,100.6,100.315994
2012-03-01,100.5,100.45249
2012-04-01,100.4,100.38449
2012-05-01,100.5,100.46808
2012-06-01,100.5,100.529915
2012-07-01,100.7,100.588455
2012-08-01,100.1,100.45312
2012-09-01,100.1,100.07093
2012-10-01,99.7,99.98265
2012-11-01,100.0,99.875824
2012-12-01,100.1,99.97024
2013-01-01,100.0,100.07071
2013-02-01,100.0,100.12676
2013-03-01,99.7,100.06544
2013-04-01,99.8,99.741005
2013-05-01,99.8,99.886566
2013-06-01,100.1,99.90511
2013-07-01,100.0,100.01033
2013-08-01,100.1,100.09417
2013-09-01,99.9,100.196945
2013-10-01,100.1,100.092064
2013-11-01,100.1,100.16087
